epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.814,1.59672,3.35682,1.27941,0.68751,0.53996,0.57404,0.36009,1.34773,1.94709,1.18446,8.76226e-05,8.76226e-05,8.76226e-05
2,599.911,1.38732,1.68442,1.16894,0.78637,0.66812,0.72468,0.4588,1.31712,1.44874,1.14606,0.000169505,0.000169505,0.000169505
3,892.044,1.30214,1.35894,1.13427,0.82321,0.70724,0.7716,0.51117,1.22617,1.27506,1.12186,0.000245601,0.000245601,0.000245601
4,1180.82,1.2484,1.21147,1.11567,0.8602,0.74668,0.79906,0.54662,1.161,1.16796,1.10269,0.000236963,0.000236963,0.000236963
5,293.651,1.21224,1.11007,1.09737,0.81198,0.76194,0.80636,0.5522,1.15971,1.12058,1.09785,0.000228284,0.000228284,0.000228284
6,584.943,1.17373,1.0375,1.08611,0.86263,0.76619,0.81876,0.55448,1.18159,1.08085,1.1003,0.000219605,0.000219605,0.000219605
7,875.889,1.1448,0.98032,1.07449,0.83968,0.77638,0.82869,0.58237,1.1021,1.00335,1.06922,0.000210926,0.000210926,0.000210926
8,1168.3,1.12077,0.93163,1.06616,0.85436,0.78681,0.8372,0.59223,1.09003,0.96045,1.07218,0.000202247,0.000202247,0.000202247
9,1461.39,1.13345,0.93128,1.06921,0.87039,0.79122,0.84829,0.59682,1.10135,0.93406,1.06437,0.000193568,0.000193568,0.000193568
10,1754.11,1.11666,0.89891,1.06517,0.85764,0.80556,0.85058,0.60262,1.08862,0.91115,1.06354,0.000184889,0.000184889,0.000184889
11,2047.92,1.09617,0.85696,1.05652,0.87483,0.80394,0.85553,0.60886,1.07085,0.87621,1.05567,0.00017621,0.00017621,0.00017621
12,2340.5,1.08953,0.84856,1.05367,0.9073,0.80141,0.86543,0.62249,1.05257,0.86542,1.04811,0.000167531,0.000167531,0.000167531
13,2633.27,1.07456,0.82538,1.04881,0.89423,0.82206,0.87021,0.62197,1.06525,0.83915,1.05067,0.000158852,0.000158852,0.000158852
14,2925.88,1.06631,0.80318,1.04536,0.90291,0.82771,0.87563,0.63718,1.03113,0.81328,1.03915,0.000150173,0.000150173,0.000150173
15,3219.23,1.06023,0.79317,1.04229,0.90022,0.84521,0.8844,0.6434,1.02275,0.79281,1.03612,0.000141494,0.000141494,0.000141494
16,3511.94,1.04685,0.77107,1.03653,0.89619,0.84498,0.88351,0.63637,1.04235,0.79631,1.03807,0.000132815,0.000132815,0.000132815
17,3804.72,1.04092,0.76155,1.03573,0.90344,0.83937,0.88459,0.64012,1.03811,0.79301,1.03747,0.000124136,0.000124136,0.000124136
18,4097.16,1.03137,0.74997,1.03086,0.91275,0.84792,0.88989,0.65245,1.00661,0.76441,1.02557,0.000115457,0.000115457,0.000115457
19,4390.41,1.02073,0.73338,1.02686,0.90674,0.85327,0.89181,0.65536,0.99992,0.74544,1.02614,0.000106778,0.000106778,0.000106778
20,4686.56,1.01669,0.72755,1.02563,0.90265,0.84868,0.89029,0.65654,0.99801,0.74414,1.02314,9.8099e-05,9.8099e-05,9.8099e-05
21,4979.6,1.01198,0.72106,1.02343,0.91753,0.84645,0.89464,0.65774,1.00016,0.73785,1.02148,8.942e-05,8.942e-05,8.942e-05
22,5272.44,1.00201,0.7053,1.02056,0.92891,0.84909,0.89664,0.66649,0.97982,0.7196,1.01559,8.0741e-05,8.0741e-05,8.0741e-05
23,5565.04,0.99809,0.70094,1.01775,0.92038,0.85123,0.89949,0.66724,0.98234,0.72395,1.01602,7.2062e-05,7.2062e-05,7.2062e-05
24,5865.51,0.99452,0.6953,1.01718,0.91437,0.85515,0.89986,0.66256,1.00101,0.70663,1.01881,6.3383e-05,6.3383e-05,6.3383e-05
25,6211.2,0.98531,0.68589,1.01204,0.91737,0.85968,0.89878,0.66737,0.98428,0.70774,1.01277,5.4704e-05,5.4704e-05,5.4704e-05
26,6539.91,0.92852,0.60775,1.00101,0.9272,0.85595,0.90376,0.67441,0.97258,0.71037,1.009,4.6025e-05,4.6025e-05,4.6025e-05
27,6824.39,0.91813,0.59937,0.99505,0.91322,0.86307,0.90203,0.67599,0.96311,0.70339,1.00437,3.7346e-05,3.7346e-05,3.7346e-05
28,7107.97,0.91147,0.59164,0.99466,0.90997,0.86613,0.90156,0.67458,0.97348,0.7067,1.00726,2.8667e-05,2.8667e-05,2.8667e-05
29,7391.31,0.90519,0.5866,0.99024,0.92059,0.86277,0.90345,0.67845,0.96075,0.70081,1.00284,1.9988e-05,1.9988e-05,1.9988e-05
30,7674.41,0.90388,0.58305,0.99022,0.91535,0.8707,0.90679,0.67893,0.96454,0.69572,1.00346,1.1309e-05,1.1309e-05,1.1309e-05
